"INTERSECTION","FIRST APPROACH","SECOND APPROACH","THIRD APPROACH","GO LIVE DATE","LATITUDE","LONGITUDE","LOCATION"
"2400 North Central Avenue","SB",,,"10/03/2007","41.92431","-87.7661","(41.92431, -87.7661)"
"800 North Western Ave","NB",,,"05/06/2007","41.89543","-87.6867","(41.89543, -87.6867)"
"6400 West Fullerton Avenue","EB",,,"11/13/2008","41.92356","-87.78583","(41.92356, -87.78583)"
"5600 West Diversey Avenue","WB",,,"08/17/2009","41.93136","-87.76588","(41.93136, -87.76588)"
"2400 West Addison","EB",,,"06/07/2009","41.94665","-87.6887","(41.94665, -87.6887)"
"2400 West Foster Ave","WB",,,"06/04/2007","41.97598","-87.6887","(41.97598, -87.6887)"
"3200 North Pulaski Rd","SB",,,"05/17/2007","41.93935","-87.72729","(41.93935, -87.72729)"
"140 W. Kinzie","EB",,,"04/28/2004","41.8891","-87.6329","(41.8891, -87.6329)"
"400 N. LASALLE","NB",,,"04/28/2004","41.889","-87.6324","(41.889, -87.6324)"
"340 W. Upper Wacker Dr","SB",,,"02/18/2018","41.8859","-87.6371","(41.8859, -87.6371)"
"200 N. Upper Wacker Dr","NB",,,"02/18/2018","41.8855","-87.6368","(41.8855, -87.6368)"
"100 E. Ontario St","WB",,,"01/21/2018","41.8933","-87.6237","(41.8933, -87.6237)"
"5200 N. Northwest Hwy","SB",,,"07/09/2017","41.9759","-87.7698","(41.9759, -87.7698)"
"�5232 N. Central Ave","SB",,,"01/24/2018","41.9771","-87.7685","(41.9771, -87.7685)"
"628 N. Michigan Ave","SB",,,"01/21/2018","41.8937","-87.6243","(41.8937, -87.6243)"
"5232 N Milwaukee Ave","SEB",,,"01/24/2018","41.9767","-87.7688","(41.9767, -87.7688)"
"300 S. Michigan Ave","NB",,,"01/22/2018","41.87789","-87.62458","(41.87789, -87.62458)"
"5616 W. Foster Ave","EB",,,"07/09/2017","41.9756","-87.7699","(41.9756, -87.7699)"
"2426 North Damen Ave","SB",,,"02/17/2006","41.9261","-87.6779","(41.9261, -87.6779)"
"100 E. Jackson Blvd","EB",,,"01/22/2018","41.8782","-87.6248","(41.8782, -87.6248)"
"6000 W Addison Street","EB",,,"06/27/2008","41.94574","-87.77688","(41.94574, -87.77688)"
"11900 South Halsted","SB",,,"11/01/2004","41.67812","-87.64206","(41.67812, -87.64206)"
"4800 West Diversey Avenue","WB",,,"02/10/2010","41.93154","-87.74614","(41.93154, -87.74614)"
"6400 West Fullerton Avenue","WB",,,"11/13/2008","41.92381","-87.7847","(41.92381, -87.7847)"
"7600 South Stony Island Avenue","NB",,,"11/28/2008","41.75671","-87.58561","(41.75671, -87.58561)"
"2400 North Ashland Avenue","SB",,,"06/07/2009","41.92528","-87.66819","(41.92528, -87.66819)"
"1 East 79th Street","WB",,,"06/25/2009","41.75105","-87.62419","(41.75105, -87.62419)"
"1300 W Irving Park Road","EB",,,"07/21/2008","41.95432","-87.66262","(41.95432, -87.66262)"
"2400 North Ashland Avenue","NB",,,"06/06/2009","41.92499","-87.66808","(41.92499, -87.66808)"
"6300 South Kedzie Ave","NB",,,"11/24/2007","41.77869","-87.70305","(41.77869, -87.70305)"
"3200 North Kedzie Avenue","NB",,,"02/28/2004","41.93878","-87.70765","(41.93878, -87.70765)"
"600 South Cicero Avenue","SB",,,"11/17/2009","41.8735","-87.74513","(41.8735, -87.74513)"
"3200 West 55th Street","EB",,,"05/21/2008","41.79345","-87.70393","(41.79345, -87.70393)"
"5500 S. Pulaski","SB",,,"11/17/2004","41.7937","-87.72329","(41.7937, -87.72329)"
"5075 West Montrose Avenue","WB",,,"03/10/2010","41.96066","-87.75406","(41.96066, -87.75406)"
"400 West Belmont Ave","EB",,,"06/21/2008","41.94017","-87.6389","(41.94017, -87.6389)"
"7100 South Cottage Grove Avenue","NB",,,"04/28/2008","41.76515","-87.60543","(41.76515, -87.60543)"
"150 North Sacramento Boulevard","NB",,,"09/16/2009","41.89529","-87.70209","(41.89529, -87.70209)"
"3700 West Irving Park Road","EB",,,"08/11/2009","41.95376","-87.719","(41.95376, -87.719)"
"8700 South Vincennes","SB",,,"11/09/2004","41.73643","-87.6451","(41.73643, -87.6451)"
"4000 West Diversey Avenue","EB",,,"05/14/2009","41.93177","-87.72741","(41.93177, -87.72741)"
"3600 North Harlem Avenue","NB",,,"06/19/2009","41.94493","-87.80688","(41.94493, -87.80688)"
"4400 North Western Avenue","NB",,,"08/25/2008","41.961","-87.68862","(41.961, -87.68862)"
"4700 S. Western Avenue","NB",,,"11/28/2004","41.80813","-87.6843","(41.80813, -87.6843)"
"3200 North Lakeshore Drive","SB",,,"06/20/2008","41.94035","-87.63887","(41.94035, -87.63887)"
"5500 South Kedzie Avenue","SB",,,"05/21/2008","41.79373","-87.70362","(41.79373, -87.70362)"
"1200 West Devon Ave","EB",,,"10/17/2007","41.99813","-87.66099","(41.99813, -87.66099)"
"4000 N Clark Street","NB",,,"07/20/2008","41.95417","-87.66199","(41.95417, -87.66199)"
"848 West 87th Street","EB",,,"11/10/2004","41.73602","-87.64556","(41.73602, -87.64556)"
"4800 West Chicago Avenue","EB",,,"10/04/2007","41.89494","-87.74609","(41.89494, -87.74609)"
"6300 South Pulaski Rd","SB",,,"03/29/2007","41.77891","-87.72291","(41.77891, -87.72291)"
"4400 West Ogden Avenue","EB",,,"05/22/2008","41.84747","-87.73476","(41.84747, -87.73476)"
"4800 North Western Avenue","SB",,,"07/29/2008","41.96898","-87.68897","(41.96898, -87.68897)"
"4440 West Lawrence Avenue","WB",,,"06/07/2009","41.96817","-87.73976","(41.96817, -87.73976)"
"1600 East 79th St","WB",,,"05/06/2007","41.75155","-87.58502","(41.75155, -87.58502)"
"0 N. Ashland Ave","NB",,,"03/04/2004","41.88122","-87.66663","(41.88122, -87.66663)"
"7100 S. Ashland","NB",,,"10/09/2004","41.76456","-87.66366","(41.76456, -87.66366)"
